n;ratio
402;0.6090133908
403;0.6104279935
404;0.6098605529
405;0.6094863588
406;0.6085260501
407;0.6098859637
408;0.6084378604
409;0.6103442710
410;0.6092742415
411;0.6095334505
412;0.6089817608
413;0.6101167270
414;0.6087131555
415;0.6095921034
416;0.6088838295
417;0.6091414638
418;0.6082907900
419;0.6101525965
420;0.6083390023
421;0.6101917728
422;0.6096617327
423;0.6098676011
424;0.6093082503
425;0.6099875433
426;0.6086700170
427;0.6097713474
428;0.6092398899
429;0.6090110356
430;0.6079989183
431;0.6098104554
432;0.6085337363
433;0.6103344730
434;0.6094363864
435;0.6090051526
436;0.6084872906
437;0.6098529081
438;0.6085725902
439;0.6103486387
440;0.6092303719
441;0.6090620678
442;0.6082748101
443;0.6100362295
444;0.6087523334
445;0.6095745487
446;0.6090761930
447;0.6093168976
448;0.6085130341
449;0.6102499492
450;0.6087259259
451;0.6099625862
452;0.6094594330
453;0.6096954812
454;0.6092054959
455;0.6093128849
456;0.6080284318
457;0.6097371785
458;0.6092513491
459;0.6093335422
460;0.6083506616
461;0.6100432428
462;0.6085296378
463;0.6102141634
464;0.6096676204
465;0.6092681235
466;0.6087927573
467;0.6104617840
468;0.6091706845
469;0.6101763494
470;0.6092485287
471;0.6094770579
472;0.6089799986
473;0.6101622946
474;0.6089791522
475;0.6096088643
476;0.6087449686
477;0.6089377618
478;0.6084758670
479;0.6101045585
480;0.6086762153
481;0.6098823916
482;0.6094204645
483;0.6091628838
484;0.6085265692
485;0.6092847274
486;0.6081517045
487;0.6097550692
488;0.6092742206
489;0.6094947746
490;0.6084089963
491;0.6099982993
492;0.6088431159
493;0.6100621685
494;0.6093650117
495;0.6088644016
496;0.6083628707
497;0.6093178791
498;0.6081958356
499;0.6097606034
500;0.6089240000
501;0.6091409994
502;0.6087006555
503;0.6102510187
504;0.6089655770
505;0.6096931673
506;0.6090042025
507;0.6090317410
508;0.6085893422
509;0.6101219310
510;0.6087158785
511;0.6096445709
512;0.6092185974
513;0.6093080872
514;0.6088775000
515;0.6095918560
516;0.6084933297
517;0.6095836342
518;0.6088422951
519;0.6090525354
520;0.6081323964
521;0.6096315590
522;0.6085311431
523;0.6100230689
524;0.6095907873
525;0.6090122449
526;0.6085927222
527;0.6097418707
528;0.6085822716
529;0.6098999074
530;0.6090815237
531;0.6092580180
532;0.6084960993
533;0.6095941765
534;0.6085476020
535;0.6092374880
536;0.6088041602
537;0.6090079031
538;0.6085978635
539;0.6092330675
540;0.6079663923
541;0.6094109286
542;0.6090024646
543;0.6092033549
544;0.6086957991
545;0.6093729484
546;0.6081089240
547;0.6095371463
548;0.6091260856
549;0.6092979121
550;0.6084066116
551;0.6095203902
552;0.6084692029
553;0.6093313146
554;0.6089320857
555;0.6086096908
556;0.6082080379
557;0.6096103452
558;0.6085835228
559;0.6096338657
560;0.6086830357
561;0.6085485239
562;0.6081578247
563;0.6095454130
564;0.6085427041
565;0.6091972746
566;0.6088070771
567;0.6086771243
568;0.6082715483
569;0.6096441511
570;0.6083933518
571;0.6097607356
572;0.6090976331
573;0.6092882444
574;0.6086239969
575;0.6091705104
576;0.6082145785
577;0.6095684065
578;0.6090893308
579;0.6092781014
580;0.6085107015
581;0.6093328317
582;0.6083743697
583;0.6093489345
584;0.6089527819
585;0.6085557747
586;0.6081812252
587;0.6095121732
588;0.6084125827
589;0.6094615201
590;0.6087302499
591;0.6089166030
592;0.6085047252
593;0.6098211569
594;0.6087899194
595;0.6089146247
596;0.6085395928
597;0.6087248077
598;0.6081671346
599;0.6094715455
600;0.6083305556
601;0.6096300952
602;0.6089971413
603;0.6091570891
604;0.6087863471
605;0.6091797008
606;0.6082600834
607;0.6095470472
608;0.6091017789
609;0.6089149889
610;0.6082101586
611;0.6091781603
612;0.6082142552
613;0.6094888083
614;0.6091284788
615;0.6088412982
616;0.6081311140
617;0.6093976973
618;0.6084954075
619;0.6097567341
620;0.6090400624
621;0.6091338836
622;0.6087793757
623;0.6095473412
624;0.6085814226
625;0.6091955200
626;0.6088431034
627;0.6087340288
628;0.6083791432
629;0.6093579786
630;0.6081506677
631;0.6093891667
632;0.6090244953
633;0.6091981562
634;0.6088502224
635;0.6094339389
636;0.6085474269
637;0.6091224317
638;0.6085902261
639;0.6087441008
640;0.6080932617
641;0.6093126720
642;0.6084446968
643;0.6096592325
644;0.6090404498
645;0.6087687038
646;0.6082656788
647;0.6094732794
648;0.6086224470
649;0.6095023516
650;0.6087644970
651;0.6085945998
652;0.6082535097
653;0.6094500820
654;0.6085977611
655;0.6091649671
656;0.6087963824
657;0.6089461576
658;0.6083715967
659;0.6095569458
660;0.6084458219
661;0.6096273697
662;0.6092929966
663;0.6092035608
664;0.6088578712
665;0.6089818531
666;0.6081283987
667;0.6090755222
668;0.6087413496
669;0.6089069423
670;0.6082668746
671;0.6091204488
672;0.6081592793
673;0.6093206662
674;0.6089932112
675;0.6087703704
676;0.6083361052
677;0.6094901261
678;0.6086681285
679;0.6093753050
680;0.6086916090
681;0.6088545609
682;0.6083603512
683;0.6095041898
684;0.6086466776
685;0.6091896212
686;0.6086643320
687;0.6088260034
688;0.6084771329
689;0.6093410656
690;0.6083154799
691;0.6094462397
692;0.6091228407
693;0.6088654011
694;0.6085487796
695;0.6090844159
696;0.6082602556
697;0.6091509215
698;0.6088353133
699;0.6089938416
700;0.6082346939
701;0.6093495943
702;0.6084914083
703;0.6093838841
704;0.6089452318
705;0.6086997636
706;0.6083890409
707;0.6090699391
708;0.6082762776
709;0.6093785124
710;0.6087740528
711;0.6089143676
712;0.6085938486
713;0.6094844493
714;0.6085316480
715;0.6087084943
716;0.6083982242
717;0.6085541609
718;0.6082490825
719;0.6093361008
720;0.6083854167
721;0.6090535375
722;0.6086797216
723;0.6088336404
724;0.6085265254
725;0.6089797860
726;0.6081381053
727;0.6092134963
728;0.6086278076
729;0.6087881816
730;0.6082022894
731;0.6090545530
732;0.6082874227
733;0.6093536253
734;0.6090530778
735;0.6086408441
736;0.6082876743
737;0.6090682642
738;0.6083001006
739;0.6093576332
740;0.6087636961
741;0.6086952563
742;0.6081890570
743;0.6092412087
744;0.6084717164
745;0.6089725688
746;0.6086779176
747;0.6088127611
748;0.6083298779
749;0.6089739590
750;0.6080622222
751;0.6091035300
752;0.6087861447
753;0.6089338970
754;0.6085017836
755;0.6089960967
756;0.6081419193
757;0.6091747826
758;0.6088843018
759;0.6088084835
760;0.6082046399
761;0.6092319222
762;0.6085019392
763;0.6091341174
764;0.6088426167
765;0.6085642274
766;0.6082783985
767;0.6090594929
768;0.6083424886
769;0.6093587504
770;0.6085866082
771;0.6087315646
772;0.6084441864
773;0.6094549386
774;0.6087224325
775;0.6091504683
776;0.6088568791
777;0.6087217940
778;0.6084400050
779;0.6092518469
780;0.6083218277
781;0.6090602514
782;0.6086547707
783;0.6087452230
784;0.6082865863
785;0.6087630330
786;0.6080567048
787;0.6090505014
788;0.6087682625
789;0.6089095790
790;0.6083688511
791;0.6089796558
792;0.6082080272
793;0.6089649503
794;0.6086882729
795;0.6084743483
796;0.6081964471
797;0.6091774518
798;0.6083300356
799;0.6091140208
800;0.6085921875
801;0.6087194378
802;0.6084461539
803;0.6091648845
804;0.6084673028
805;0.6085860885
806;0.6081851991
807;0.6083249264
808;0.6080454735
809;0.6090123319
810;0.6081679622
811;0.6091321396
812;0.6086519328
813;0.6087895196
814;0.6083812761
815;0.6088403779
816;0.6081179715
817;0.6088954275
818;0.6086271005
819;0.6084298282
820;0.6078985723
821;0.6088516871
822;0.6081763073
823;0.6091264363
824;0.6088506810
825;0.6085509642
826;0.6080984821
827;0.6090442137
828;0.6083441271
829;0.6092869896
830;0.6087719553
831;0.6089063819
832;0.6085530117
833;0.6090296863
834;0.6083636688
835;0.6088120764
836;0.6083866555
837;0.6084753964
838;0.6082145237
839;0.6091464809
840;0.6082412132
841;0.6090917189
842;0.6088306317
843;0.6089630746
844;0.6087001078
845;0.6090080880
846;0.6083404591
847;0.6087448025
848;0.6084669255
849;0.6085993221
850;0.6080539792
851;0.6088130229
852;0.6081561749
853;0.6090730049
854;0.6086346659
855;0.6083936938
856;0.6081303498
857;0.6090429696
858;0.6082761450
859;0.6091863051
860;0.6086790157
861;0.6085609338
862;0.6083071797
863;0.6092130580
864;0.6085752636
865;0.6090079856
866;0.6087543803
867;0.6087983195
868;0.6083520037
869;0.6090184742
870;0.6082111243
871;0.6089032889
872;0.6086437905
873;0.6087617713
874;0.6084063382
875;0.6085838367
876;0.6079457789
877;0.6088380493
878;0.6085883220
879;0.6087160790
880;0.6081598657
881;0.6090476074
882;0.6083152082
883;0.6092005915
884;0.6088058701
885;0.6086156596
886;0.6083687051
887;0.6092499832
888;0.6086090313
889;0.6091537489
890;0.6086744098
891;0.6086693094
892;0.6084213940
893;0.6091361328
894;0.6085148817
895;0.6089335539
896;0.6085317184
897;0.6084880979
898;0.6082447508
899;0.6089710357
900;0.6082111111
901;0.6089115436
902;0.6085454349
903;0.6084345402
904;0.6081855960
905;0.6086004701
906;0.6079886847
907;0.6088514056
908;0.6086075317
909;0.6087214882
910;0.6080799420
911;0.6089386821
912;0.6082965432
913;0.6089321940
914;0.6086921652
915;0.6085090627
916;0.6082681013
917;0.6087973561
918;0.6081552205
919;0.6090063358
920;0.6085148866
921;0.6086371680
922;0.6083998758
923;0.6090542756
924;0.6082988981
925;0.6086673484
926;0.6084310231
927;0.6085434100
928;0.6082730288
929;0.6091147466
930;0.6083605041
931;0.6087987346
932;0.6085613568
933;0.6086820167
934;0.6084476980
935;0.6086110555
936;0.6079687614
937;0.6088039555
938;0.6084067176
939;0.6085269603
940;0.6080658669
941;0.6088973112
942;0.6083084281
943;0.6089981546
944;0.6087499551
945;0.6084297752
946;0.6080827698
947;0.6089089204
948;0.6083193131
949;0.6089566856
950;0.6084731302
951;0.6085917641
952;0.6081612792
953;0.6089820735
954;0.6083916775
955;0.6087848469
956;0.6085535530
957;0.6085053322
958;0.6082772913
959;0.6087839153
960;0.6080718316
961;0.6088210230
962;0.6084895466
963;0.6085980877
964;0.6083691310
965;0.6087583559
966;0.6080644608
967;0.6088735939
968;0.6085553839
969;0.6085268717
970;0.6080890637
971;0.6088948190
972;0.6083284645
973;0.6088278694
974;0.6086029371
975;0.6083650230
976;0.6081268056
977;0.6089275444
978;0.6083604117
979;0.6089545418
980;0.6084121200
981;0.6085190485
982;0.6082965891
983;0.6090921039
984;0.6085157231
985;0.6088969054
986;0.6085840715
987;0.6084847701
988;0.6081387582
989;0.6087989114
990;0.6080593817
991;0.6088489646
992;0.6085976115
993;0.6087111290
994;0.6083371456
995;0.6087149314
996;0.6081545056
997;0.6089391545
998;0.6087194429
999;0.6087999912
1000;0.6083830000
